PC;VMY.PM;SLI;SLP;P.Max;VO_N;G.Max
1.4779000;1.4834000;2.6033115;2.7000000;-3.3000000;0.0037897;7.9000000
1.4725000;1.4784000;2.7169193;2.8000000;-3.8000000;0.0023910;2.5000000
1.4662000;1.4708000;2.4193635;2.7000000;-3.2000000;0.0027695;4.9000000
1.4666000;1.4676000;2.7693385;2.8000000;-3.4000000;0.0020392;2.2000000
1.4733000;1.4768000;2.0119735;2.5000000;-1.0000000;0.0034483;9.0000000
1.4631000;1.4658000;2.4608145;2.7000000;-1.1000000;0.0024511;6.0000000
1.4626000;1.4626000;2.9588714;3.0000000;-1.8000000;0.0011063;1.0000000
1.4692000;1.4750000;2.0080939;2.5000000;-3.2000000;0.0047924;10.8000000
1.4675000;1.4691000;2.7183807;2.8000000;-2.2000000;0.0018163;3.0000000
1.4704000;1.4736000;2.6390552;2.7000000;-2.1000000;0.0018779;3.4000000
1.4633000;1.4708000;2.0138575;2.5000000;-0.6000000;0.0044885;12.5000000
1.4441000;1.4613000;1.8547615;2.5000000;-1.3000000;0.0077099;19.7000000
1.4384000;1.4418000;2.5083708;2.7000000;-4.1000000;0.0030505;4.6000000
1.4344000;1.4401000;2.4976913;2.7000000;-2.0000000;0.0032345;7.2000000
1.4358000;1.4409000;2.4384359;2.7000000;-0.3000000;0.0022501;5.7000000
1.4408000;1.4409000;2.8294418;2.9000000;-4.4000000;0.0024698;1.8000000
1.4707000;1.4744000;2.2361047;2.5000000;-1.7000000;0.0101036;25.5000000
1.4687000;1.4703000;2.0312904;2.5000000;-2.0000000;0.0046078;10.4000000
1.4733000;1.4780000;2.5732929;2.7000000;-4.3000000;0.0027915;3.9000000
1.4701000;1.4749000;1.9711309;2.5000000;-0.8000000;0.0031632;8.5000000
1.4708000;1.4741000;2.7239908;2.8000000;-4.8000000;0.0026991;3.1000000
1.4665000;1.4715000;2.4906585;2.7000000;-0.6000000;0.0026617;7.1000000
1.4776000;1.4819000;2.0424037;2.5000000;-3.8000000;0.0063460;14.1000000
1.4855000;1.4914000;2.0230545;2.5000000;-1.7000000;0.0039718;10.1000000
1.4823000;1.4921000;2.3013880;2.5000000;-6.3000000;0.0050105;8.3000000
1.4665000;1.4685000;2.9673930;3.0000000;-8.4000000;0.0034610;1.2000000
1.4456000;1.4647000;2.4485281;2.5000000;-2.2000000;0.0099173;26.0000000
1.4587000;1.4683000;1.9699873;2.5000000;-1.6000000;0.0082238;22.2000000
1.4594000;1.4588000;2.5416349;2.7000000;-1.1000000;0.0032206;6.7000000
1.4732000;1.4778000;1.8168340;2.5000000;-0.7000000;0.0070620;19.1000000
1.4713000;1.4736000;2.5464260;2.7000000;-0.8000000;0.0026520;6.8000000
1.4758000;1.4798000;2.0238931;2.5000000;-1.6000000;0.0036308;9.0000000
1.4770000;1.4777000;2.7100863;2.8000000;-1.4000000;0.0014477;2.6000000
1.4837000;1.4951000;1.7169871;2.5000000;-1.3000000;0.0063421;17.4000000
1.4825000;1.4847000;2.7126421;2.8000000;-2.3000000;0.0016558;2.6000000
