latitude,longitude,band1,band2,band3,band4,band5,band6,band7,value
-8724600.0,234900.0,3322.373015873016,4730.229741019215,3483.967418546366,3492.7577276524644,4520.604427736007,3168.129490392648,1890.921888053467,196.1
-8724600.0,249750.0,3306.7620253164555,4578.540506329114,3434.5856540084387,3471.655274261603,4355.421097046414,3121.5540084388185,1871.8805907172996,194.6
-8724600.0,264600.0,3435.004700854701,4750.673076923077,3584.130341880342,3598.336324786325,4546.8551282051285,3232.7128205128206,1941.9529914529915,193.9
-8724600.0,279900.0,3302.0012782275244,4085.50276949297,3409.0711546655307,3459.457179377929,3789.600340860673,2812.2978270132085,1765.5372816361312,198.3
-8724600.0,284850.0,3114.8068669527897,3362.3021459227466,3207.232618025751,3247.920600858369,3272.4068669527896,2512.0974248927037,1639.9502145922747,201.6
-8714700.0,114750.0,3514.174193548387,4700.976497695852,3641.911520737327,3662.7414746543777,4511.224884792627,3232.0382488479263,1914.3705069124424,194.7
-8714700.0,124650.0,3376.9479022591054,4599.385892116183,3499.8132780082988,3527.9829414476717,4431.096357768557,3203.7298294144766,1910.1106500691562,192.2
-8714700.0,129600.0,3556.3493470149256,4601.377798507463,3682.480410447761,3696.465485074627,4436.5932835820895,3304.1986940298507,2024.1170708955224,191.6
-8714700.0,139950.0,3431.2674524025383,4492.960562103354,3560.4088848594743,3576.9510426110605,4362.207162284678,3251.5512239347236,1989.6840435176791,192.0
-8714700.0,144900.0,3591.2959964012593,4653.572199730094,3715.0373369320737,3736.9932523616735,4513.829509671615,3393.2114260009,2097.4260008996853,192.9
-8714700.0,154800.0,3392.3868046571797,4395.456662354463,3539.657611039241,3538.382492453644,4292.017680034498,3253.8206123329023,2018.4105217766278,193.4
-8714700.0,164700.0,3448.2869674185463,4522.568922305764,3599.7105263157896,3597.4248120300754,4414.387218045113,3302.93567251462,2034.2619047619048,195.2
-8714700.0,189900.0,3238.620341614907,4607.432065217391,3391.230201863354,3404.140139751553,4454.6909937888195,3263.8179347826085,1983.4677795031057,198.8
-8714700.0,199800.0,3154.1338849191425,4325.614892816849,3301.206468597217,3313.58217374953,4254.373448664912,3154.399022188793,1953.6340729597594,197.9
-8714700.0,204750.0,3197.3858984078847,4598.730856709629,3344.0636846095526,3365.64253222138,4409.947687642153,3225.401819560273,1964.8783169067476,197.0
-8714700.0,234900.0,3274.8621248986215,4671.016626115166,3436.146796431468,3438.5417680454175,4530.61597729116,3225.79399837794,1932.2274939172748,196.2
-8714700.0,259650.0,3339.9263705482194,4797.331732693077,3500.780712284914,3514.59143657463,4567.257703081233,3250.4405762304923,1959.0112044817927,195.3
-8714700.0,264600.0,3348.097352342159,4658.34215885947,3493.8077393075355,3508.340936863544,4440.761710794297,3191.035437881874,1930.3466395112016,195.4
-8714700.0,279900.0,2977.5246295554666,3867.7597116539846,3091.04845814978,3144.5614737685223,3651.725670804966,2625.8838606327595,1635.3768522226671,199.2
-8714700.0,284850.0,2976.043951612903,3216.9092741935483,3098.4475806451615,3113.789516129032,3086.3604838709675,2409.2290322580643,1582.516129032258,200.4
-8709750.0,114750.0,3269.068315171836,4583.4547359597655,3387.198239731769,3414.8503772003355,4452.01383067896,3193.6617770326907,1922.5959765297569,197.6
-8709750.0,124650.0,3401.5987096774193,4860.535053763441,3528.956989247312,3573.3518279569894,4672.255053763441,3312.0920430107526,1957.8662365591397,193.0
-8709750.0,129600.0,3250.5179509632226,4453.791593695271,3385.65761821366,3399.24649737303,4332.498686514886,3130.4343257443084,1883.1488616462348,192.1
-8709750.0,159750.0,3527.0828111011638,4596.629364368845,3667.430170098478,3678.2739480752016,4457.970008952551,3333.816472694718,2056.955684870188,193.8
-8709750.0,189900.0,3238.8720657276995,4485.1220657277,3360.7449139280125,3400.2410015649452,4350.170970266041,3214.3388106416273,1964.0829420970267,198.9
-8709750.0,194850.0,3103.7111368909514,4336.151972157772,3237.849574632637,3261.1542923433876,4224.389017788089,3132.778422273782,1922.7057231245167,198.8
-8709750.0,199800.0,3184.718244803695,4389.855658198614,3324.3548883756735,3337.4164742109315,4282.576212471132,3191.5588914549653,1975.4761354888376,198.8
-8709750.0,204750.0,3147.7969779155364,4556.525377760558,3289.901975978303,3316.1813250678033,4380.692754746223,3178.924447888415,1935.5629600929872,197.5
-8709750.0,214650.0,3261.271714066103,4693.051114527287,3425.989623366641,3429.578016910069,4491.481552651806,3199.65142198309,1927.8055342044581,197.3
-8709750.0,229950.0,3306.6728492501975,4698.872138910813,3463.3733228097867,3470.1250986582477,4524.728097868981,3245.982241515391,1958.475138121547,196.3
-8709750.0,234900.0,3359.8543727740403,4712.264740799367,3526.7388207360505,3527.7075583696083,4540.214483577364,3222.1978630787494,1938.1005144440048,195.9
-8709750.0,254700.0,3321.1098469988233,4770.5598273832875,3486.1392703020792,3491.465672812868,4558.579442918792,3241.679482149863,1946.7826598666143,194.7
-8709750.0,274950.0,3091.1239113222487,3967.6607284243864,3215.013855898654,3258.256927949327,3760.651227236738,2753.6947743467936,1732.9679334916864,198.8
-8704800.0,109800.0,2720.41625522218,4168.240789973414,2861.962020508925,2877.090391188758,4128.6976832510445,2814.9415115837446,1646.711735662742,207.4
-8704800.0,114750.0,4126.628322861286,4977.390526824553,4242.860802319961,4246.5451909134845,4728.447559207347,3482.1503141614307,2117.597873368777,202.0
-8704800.0,124650.0,3638.883357735481,4787.5822352367,3758.9350902879455,3778.271839921913,4571.987798926306,3340.8726207906298,2019.4348462664714,197.1
-8704800.0,129600.0,3994.7489614243323,4831.091988130564,4112.162017804154,4113.382789317508,4663.655786350148,3425.6700296735903,2106.370919881306,195.1
-8704800.0,139950.0,3659.8936927772124,4602.63987792472,3777.6129196337743,3792.085961342828,4465.188199389623,3311.9949135300103,2047.7105798575788,193.3
-8704800.0,154800.0,3479.3356610800747,4507.561918063315,3617.9916201117317,3621.344972067039,4369.003724394785,3301.052141527002,2039.191340782123,193.0
