PC;VMY.PM;SLI;SLP;P.Max;VO_N;GMax_4CP
1.4311000;1.4348000;2.5176714;2.7000000;-1.0000000;0.0025854;3
1.4168000;1.4313000;1.7319785;2.5000000;-1.2000000;0.0069251;1
1.4250000;1.4278000;1.9933024;2.5000000;-1.2000000;0.0039412;2
1.4235000;1.4244000;2.5619234;2.7000000;-1.5000000;0.0021558;4
1.4408000;1.4436000;1.7982573;2.5000000;-0.3000000;0.0071148;1
1.4415000;1.4430000;2.6937495;2.8000000;-0.4000000;0.0010061;4
1.4458000;1.4503000;2.0241661;2.5000000;-1.0000000;0.0035373;3
1.4433000;1.4441000;2.7165936;2.8000000;-0.8000000;0.0013892;4
1.4487000;1.4527000;2.5591895;2.7000000;-4.5000000;0.0039603;3
1.4663000;1.4728000;2.1174429;2.5000000;-1.6000000;0.0092740;1
1.4703000;1.4737000;2.5550417;2.7000000;-1.7000000;0.0032036;3
1.4602000;1.4632000;2.5395657;2.7000000;-0.3000000;0.0027331;3
1.4666000;1.4725000;1.9416919;2.5000000;-0.5000000;0.0042999;2
1.4675000;1.4702000;2.5268319;2.7000000;-0.5000000;0.0015114;4
1.4647000;1.4686000;2.5637731;2.7000000;-3.3000000;0.0023613;4
1.4648000;1.4675000;3.0121079;3.1000000;-2.5000000;0.0011502;4
1.4813000;1.4854000;1.8072896;2.5000000;-1.5000000;0.0072405;1
1.4810000;1.4820000;2.7145234;2.8000000;-1.9000000;0.0015970;4
1.4861000;1.4872000;2.5490092;2.7000000;-1.3000000;0.0019225;4
1.4840000;1.4854000;2.7640329;2.8000000;-1.2000000;0.0011163;4
1.4876000;1.4966000;2.0463497;2.5000000;-0.1000000;0.0044103;2
1.4830000;1.4837000;3.0053566;3.1000000;-0.5000000;0.0003754;4
1.4861000;1.4886000;2.4620437;2.7000000;-1.3000000;0.0021000;3
1.4796000;1.4833000;1.8819471;2.5000000;-1.2000000;0.0042356;2
1.4779000;1.4834000;2.6033115;2.7000000;-3.3000000;0.0037897;3
1.4725000;1.4784000;2.7169193;2.8000000;-3.8000000;0.0023910;4
1.4662000;1.4708000;2.4193635;2.7000000;-3.2000000;0.0027695;3
1.4666000;1.4676000;2.7693385;2.8000000;-3.4000000;0.0020392;4
1.4733000;1.4768000;2.0119735;2.5000000;-1.0000000;0.0034483;3
1.4631000;1.4658000;2.4608145;2.7000000;-1.1000000;0.0024511;3
1.4626000;1.4626000;2.9588714;3.0000000;-1.8000000;0.0011063;4
1.4692000;1.4750000;2.0080939;2.5000000;-3.2000000;0.0047924;2
1.4675000;1.4691000;2.7183807;2.8000000;-2.2000000;0.0018163;4
1.4704000;1.4736000;2.6390552;2.7000000;-2.1000000;0.0018779;4
1.4633000;1.4708000;2.0138575;2.5000000;-0.6000000;0.0044885;2
1.4441000;1.4613000;1.8547615;2.5000000;-1.3000000;0.0077099;1
1.4384000;1.4418000;2.5083708;2.7000000;-4.1000000;0.0030505;3
1.4344000;1.4401000;2.4976913;2.7000000;-2.0000000;0.0032345;3
1.4358000;1.4409000;2.4384359;2.7000000;-0.3000000;0.0022501;3
1.4408000;1.4409000;2.8294418;2.9000000;-4.4000000;0.0024698;4
1.4707000;1.4744000;2.2361047;2.5000000;-1.7000000;0.0101036;1
1.4687000;1.4703000;2.0312904;2.5000000;-2.0000000;0.0046078;2
1.4733000;1.4780000;2.5732929;2.7000000;-4.3000000;0.0027915;4
1.4701000;1.4749000;1.9711309;2.5000000;-0.8000000;0.0031632;3
1.4708000;1.4741000;2.7239908;2.8000000;-4.8000000;0.0026991;4
1.4665000;1.4715000;2.4906585;2.7000000;-0.6000000;0.0026617;3
1.4776000;1.4819000;2.0424037;2.5000000;-3.8000000;0.0063460;2
1.4855000;1.4914000;2.0230545;2.5000000;-1.7000000;0.0039718;2
